ticket_id,ticket_code,ticket_number,ticket_display,event_name,event_date,event_date_text,location,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,table_line,purchaser_name,purchaser_email,purchaser_phone,price,table_price,payment_status,bracelet_type,ticket_status,checked_in,checked_in_at,checked_in_by,scan_count,last_scanned_at,qr_payload,notes,print_file
AADS-TOC-20260725-VIP-T02-S05-011,AADS-TOC-20260725-VIP-T02-S05-011,VIP-011,TICKET 11/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,5,CGC Comp Guest,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S05-011,Complimentary CGC Darts VIP table,VIP_011.jpg
AADS-TOC-20260725-VIP-T02-S06-012,AADS-TOC-20260725-VIP-T02-S06-012,VIP-012,TICKET 12/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,CGC COMP VIP,2,6,CGC Comp Guest,Cecil & Connie Dow - CGC Darts VIP Table,CGC Darts Complimentary VIP Table,CGC Darts,,,0,0,COMP,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T02-S06-012,Complimentary CGC Darts VIP table,VIP_012.jpg
AADS-TOC-20260725-VIP-T03-S01-013,AADS-TOC-20260725-VIP-T03-S01-013,VIP-013,TICKET 13/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,1,VIP Table 3 Guest 1,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S01-013,"Paid VIP Table 3: $110 table package, 6 seats",VIP_013.jpg
AADS-TOC-20260725-VIP-T03-S02-014,AADS-TOC-20260725-VIP-T03-S02-014,VIP-014,TICKET 14/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,2,VIP Table 3 Guest 2,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S02-014,"Paid VIP Table 3: $110 table package, 6 seats",VIP_014.jpg
AADS-TOC-20260725-VIP-T03-S03-015,AADS-TOC-20260725-VIP-T03-S03-015,VIP-015,TICKET 15/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,3,VIP Table 3 Guest 3,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S03-015,"Paid VIP Table 3: $110 table package, 6 seats",VIP_015.jpg
AADS-TOC-20260725-VIP-T03-S04-016,AADS-TOC-20260725-VIP-T03-S04-016,VIP-016,TICKET 16/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,4,VIP Table 3 Guest 4,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S04-016,"Paid VIP Table 3: $110 table package, 6 seats",VIP_016.jpg
AADS-TOC-20260725-VIP-T03-S05-017,AADS-TOC-20260725-VIP-T03-S05-017,VIP-017,TICKET 17/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,5,VIP Table 3 Guest 5,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S05-017,"Paid VIP Table 3: $110 table package, 6 seats",VIP_017.jpg
AADS-TOC-20260725-VIP-T03-S06-018,AADS-TOC-20260725-VIP-T03-S06-018,VIP-018,TICKET 18/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,3,6,VIP Table 3 Guest 6,VIP Table 3 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T03-S06-018,"Paid VIP Table 3: $110 table package, 6 seats",VIP_018.jpg
AADS-TOC-20260725-VIP-T04-S01-019,AADS-TOC-20260725-VIP-T04-S01-019,VIP-019,TICKET 19/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,1,VIP Table 4 Guest 1,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S01-019,"Paid VIP Table 4: $110 table package, 6 seats",VIP_019.jpg
AADS-TOC-20260725-VIP-T04-S02-020,AADS-TOC-20260725-VIP-T04-S02-020,VIP-020,TICKET 20/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,2,VIP Table 4 Guest 2,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S02-020,"Paid VIP Table 4: $110 table package, 6 seats",VIP_020.jpg
AADS-TOC-20260725-VIP-T04-S03-021,AADS-TOC-20260725-VIP-T04-S03-021,VIP-021,TICKET 21/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,3,VIP Table 4 Guest 3,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S03-021,"Paid VIP Table 4: $110 table package, 6 seats",VIP_021.jpg
AADS-TOC-20260725-VIP-T04-S04-022,AADS-TOC-20260725-VIP-T04-S04-022,VIP-022,TICKET 22/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,4,VIP Table 4 Guest 4,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S04-022,"Paid VIP Table 4: $110 table package, 6 seats",VIP_022.jpg
AADS-TOC-20260725-VIP-T04-S05-023,AADS-TOC-20260725-VIP-T04-S05-023,VIP-023,TICKET 23/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,5,VIP Table 4 Guest 5,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S05-023,"Paid VIP Table 4: $110 table package, 6 seats",VIP_023.jpg
AADS-TOC-20260725-VIP-T04-S06-024,AADS-TOC-20260725-VIP-T04-S06-024,VIP-024,TICKET 24/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,4,6,VIP Table 4 Guest 6,VIP Table 4 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T04-S06-024,"Paid VIP Table 4: $110 table package, 6 seats",VIP_024.jpg
AADS-TOC-20260725-VIP-T05-S01-025,AADS-TOC-20260725-VIP-T05-S01-025,VIP-025,TICKET 25/36,AADS Tournament of Champions Presented by Amherst PharmaChoice,2026-07-25,"Saturday, July 25, 2026","Club d'Age d'Or, Scoudouc, NB",VIP,PAID VIP,5,1,VIP Table 5 Guest 1,VIP Table 5 - Paid VIP Table,Paid VIP Table Package - $110 table,,,,18.33,110,UNPAID,VIP,ACTIVE,NO,,,0,,AADS-TOC-20260725-VIP-T05-S01-025,"Paid VIP Table 5: $110 table package, 6 seats",VIP_025.jpg
